EDGE_SCORES,HALF_EDGE_SCORES,EXPECTED_MIN_SEATS,MORANS_I_MIN,MORANS_I_MAJ,CRAPY_MIN_SCORES,CRAPY_MAJ_SCORES
0.4052833232506554,0.5267222911263953,0.001,-0.20869332261737306,-0.20869332261737306,0.12470556271944626,0.709512649543509
0.4526015680684248,0.5819488228110534,0.071,-0.06771147277476383,-0.06771147277476383,0.19552337219748364,0.7286525205569307
0.4721441634328025,0.6045213665576727,0.034999999999999996,-0.007769071060210191,-0.007769071060210201,0.19384146085095114,0.7383226428413152
0.42338582352860415,0.5495117378773888,0.007000000000000001,-0.14875092090281933,-0.14875092090281933,0.1401852047173857,0.715799719055216
0.5297211487580777,0.6653515767089174,0.08399999999999999,0.15263545643292487,0.15263545643292487,0.2544914681694348,0.7469761196585574
0.5708266139520366,0.7038118131868132,0.157,0.24070725336548104,0.24070725336548104,0.3126197565688756,0.7661284799505546
0.5486174915489295,0.6807065217391305,0.11100000000000002,0.16837452280490245,0.16837452280490242,0.2561196270807496,0.7508045373245574
0.7036905536816774,0.8173403439588125,0.151,0.5668742883932755,0.5668742883932755,0.44361867957852347,0.7910490102898543
0.7480314960629921,0.8498817002529166,0.19,0.6603040653673566,0.6603040653673566,0.5488512608372385,0.8183293581545449
0.735064935064935,0.8402777777777778,0.174,0.6144263612618044,0.6144263612618044,0.4945360597305143,0.8089476336696491
